date,downloads_cf,downloads_mr,downloads_total
2026-08-12T12:16:43Z,9961,2311,12272
2026-08-13T08:10:06Z,11463,2668,14131
2026-08-14T08:06:05Z,16268,2990,19258
2026-08-15T07:21:01Z,23413,3342,26755
2026-08-16T07:22:07Z,31537,3690,35227
2026-08-17T07:41:53Z,39838,4024,43862
2026-08-18T07:27:47Z,46864,4362,51226
2026-08-19T07:29:00Z,53843,4686,58529
2026-08-20T07:31:22Z,61641,5412,67053
2026-08-21T07:33:53Z,68894,5902,74796
2026-08-22T07:22:03Z,77109,6644,83753
2026-08-23T07:23:51Z,87169,7379,94548
2026-08-24T07:48:28Z,96780,7950,104730
2026-08-25T07:34:46Z,105368,8436,113804
2026-08-26T07:36:16Z,114709,8884,123593
2026-08-27T17:57:35Z,127523,9416,136939
2026-08-28T19:07:47Z,136250,9759,146009
2026-08-29T12:52:05Z,144409,10022,154431
