date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,1638,0,1638
2026-06-22T12:42:00Z,1639,0,1639
2026-06-23T10:27:37Z,1639,0,1639
2026-06-24T10:12:27Z,1639,0,1639
2026-06-25T10:10:12Z,1639,0,1639
2026-06-26T10:12:43Z,1639,0,1639
2026-06-27T09:21:34Z,1639,0,1639
2026-06-28T09:51:41Z,1639,0,1639
2026-06-29T11:52:16Z,1639,0,1639
2026-06-30T10:23:41Z,1639,0,1639
2026-07-01T10:36:49Z,1639,0,1639
2026-07-02T09:51:03Z,1639,0,1639
2026-07-03T09:48:51Z,1639,0,1639
2026-07-04T09:12:31Z,1639,0,1639
2026-07-05T09:33:11Z,1639,0,1639
2026-07-06T11:21:24Z,1639,0,1639
2026-07-07T10:17:38Z,1639,0,1639
2026-07-08T09:19:28Z,1639,0,1639
2026-07-09T10:17:37Z,1640,0,1640
2026-07-10T10:13:39Z,1641,0,1641
2026-07-11T08:41:48Z,1641,0,1641
2026-07-12T08:57:07Z,1641,0,1641
2026-07-13T10:15:20Z,1641,0,1641
2026-07-14T08:58:10Z,1641,0,1641
2026-07-15T09:04:12Z,1641,0,1641
2026-07-16T09:07:37Z,1641,0,1641
2026-07-17T09:02:27Z,1641,0,1641
2026-07-18T08:31:28Z,1641,0,1641
2026-07-19T09:00:54Z,1641,0,1641
2026-07-20T09:48:57Z,1641,0,1641
2026-07-21T09:21:57Z,1641,0,1641
2026-07-22T09:20:59Z,1641,0,1641
