date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,20060,0,20060
2026-06-22T12:42:00Z,20067,0,20067
2026-06-23T10:27:37Z,20072,0,20072
2026-06-24T10:12:27Z,20074,0,20074
2026-06-25T10:10:12Z,20076,0,20076
2026-06-26T10:12:43Z,20078,0,20078
2026-06-27T09:21:34Z,20079,0,20079
2026-06-28T09:51:41Z,20082,0,20082
2026-06-29T11:52:16Z,20085,0,20085
2026-06-30T10:23:41Z,20091,0,20091
2026-07-01T10:36:49Z,20094,0,20094
2026-07-02T09:51:03Z,20100,0,20100
2026-07-03T09:48:51Z,20103,0,20103
2026-07-04T09:12:31Z,20104,0,20104
2026-07-05T09:33:11Z,20108,0,20108
2026-07-06T11:21:24Z,20110,0,20110
2026-07-07T10:17:38Z,20120,0,20120
2026-07-08T09:19:28Z,20125,0,20125
2026-07-09T10:17:37Z,20126,0,20126
2026-07-10T10:13:39Z,20132,0,20132
2026-07-11T08:41:48Z,20133,0,20133
2026-07-12T08:57:07Z,20135,0,20135
2026-07-13T10:15:20Z,20139,0,20139
2026-07-14T08:58:10Z,20145,0,20145
2026-07-15T09:04:12Z,20152,0,20152
2026-07-16T09:07:37Z,20156,0,20156
2026-07-17T09:02:27Z,20164,0,20164
2026-07-18T08:31:28Z,20166,0,20166
2026-07-19T09:00:54Z,20170,0,20170
2026-07-20T09:48:57Z,20176,0,20176
2026-07-21T09:21:57Z,20181,0,20181
2026-07-22T09:20:59Z,20184,0,20184
2026-07-23T09:17:24Z,20187,0,20187
2026-07-24T09:14:12Z,20191,0,20191
2026-07-25T08:53:50Z,20199,0,20199
2026-07-26T09:06:44Z,20204,0,20204
2026-07-27T10:31:23Z,20212,0,20212
2026-07-28T09:29:59Z,20214,0,20214
2026-07-29T09:31:50Z,20218,0,20218
2026-07-30T09:24:27Z,20224,0,20224
2026-07-31T09:36:03Z,20227,0,20227
2026-08-01T08:59:31Z,20231,0,20231
2026-08-02T09:04:20Z,20232,0,20232
2026-08-03T10:31:30Z,20235,0,20235
2026-08-04T09:32:33Z,20238,0,20238
2026-08-05T09:29:25Z,20244,0,20244
2026-08-06T09:33:57Z,20248,0,20248
2026-08-07T08:04:52Z,20252,0,20252
2026-08-08T07:39:38Z,20252,0,20252
2026-08-09T07:43:35Z,20261,0,20261
2026-08-10T08:20:16Z,20266,0,20266
2026-08-11T08:01:46Z,20269,0,20269
2026-08-12T08:07:51Z,20273,0,20273
