date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,32982,0,32982
2026-06-22T12:42:00Z,32991,0,32991
2026-06-23T10:27:37Z,32996,0,32996
2026-06-24T10:12:27Z,32999,0,32999
2026-06-25T10:10:12Z,33007,0,33007
2026-06-26T10:12:43Z,33010,0,33010
2026-06-27T09:21:34Z,33018,0,33018
2026-06-28T09:51:41Z,33025,0,33025
2026-06-29T11:52:16Z,33030,0,33030
2026-06-30T10:23:41Z,33035,0,33035
2026-07-01T10:36:49Z,33042,0,33042
2026-07-02T09:51:03Z,33049,0,33049
2026-07-03T09:48:51Z,33054,0,33054
2026-07-04T09:12:31Z,33056,0,33056
2026-07-05T09:33:11Z,33060,0,33060
2026-07-06T11:21:24Z,33071,0,33071
2026-07-07T10:17:38Z,33079,0,33079
2026-07-08T09:19:28Z,33083,0,33083
2026-07-09T10:17:37Z,33084,0,33084
2026-07-10T10:13:39Z,33091,0,33091
2026-07-11T08:41:48Z,33098,0,33098
2026-07-12T08:57:07Z,33106,0,33106
2026-07-13T10:15:20Z,33114,0,33114
