date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,82467577,12400274,94867851
2026-06-22T12:42:00Z,82592298,12425205,95017503
2026-06-23T10:27:37Z,82684692,12444837,95129529
2026-06-24T10:12:27Z,82789060,12464687,95253747
2026-06-25T10:10:12Z,82890144,12485643,95375787
2026-06-26T10:12:43Z,82989225,12504440,95493665
2026-06-27T09:21:34Z,83092231,12525862,95618093
2026-06-28T09:51:41Z,83219068,12552021,95771089
2026-06-29T11:52:16Z,83347819,12578209,95926028
2026-06-30T10:23:41Z,83447539,12599407,96046946
2026-07-01T10:36:49Z,83552650,12623735,96176385
2026-07-02T09:51:03Z,83655092,12645996,96301088
2026-07-03T09:48:51Z,83756892,12668676,96425568
2026-07-04T09:12:31Z,83843426,12692578,96536004
2026-07-05T09:33:11Z,83960032,12719336,96679368
2026-07-06T11:21:24Z,84084210,12745871,96830081
2026-07-07T10:17:38Z,84185223,12768220,96953443
2026-07-08T09:19:28Z,84294829,12791634,97086463
2026-07-09T10:17:37Z,84402452,12817135,97219587
2026-07-10T10:13:39Z,84504068,12841971,97346039
2026-07-11T08:41:48Z,84604880,12864962,97469842
2026-07-12T08:57:07Z,84717946,12891384,97609330
2026-07-13T10:15:20Z,84837408,12918094,97755502
2026-07-14T08:58:10Z,84939782,12941913,97881695
2026-07-15T09:04:12Z,85037411,12966692,98004103
2026-07-16T09:07:37Z,85133594,12991373,98124967
2026-07-17T09:02:27Z,85231844,13015797,98247641
2026-07-18T08:31:28Z,85335628,13038510,98374138
2026-07-19T09:00:54Z,85462049,13064783,98526832
2026-07-20T09:48:57Z,85586108,13094025,98680133
2026-07-21T09:21:57Z,85695451,13119653,98815104
2026-07-22T09:20:59Z,85814980,13145384,98960364
2026-07-23T09:17:24Z,0,13172160,13172160
2026-07-24T09:14:12Z,86039247,13197323,99236570
