date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,34073,0,34073
2026-06-22T12:42:00Z,34073,0,34073
2026-06-23T10:27:37Z,34073,0,34073
2026-06-24T10:12:27Z,34073,0,34073
2026-06-25T10:10:12Z,34073,0,34073
2026-06-26T10:12:43Z,34073,0,34073
2026-06-27T09:21:34Z,34073,0,34073
2026-06-28T09:51:41Z,34075,0,34075
2026-06-29T11:52:16Z,34076,0,34076
2026-06-30T10:23:41Z,34076,0,34076
2026-07-01T10:36:49Z,34078,0,34078
2026-07-02T09:51:03Z,34079,0,34079
2026-07-03T09:48:51Z,34079,0,34079
2026-07-04T09:12:31Z,34079,0,34079
2026-07-05T09:33:11Z,34079,0,34079
