date,downloads_cf,downloads_mr,downloads_total
2026-06-21T10:24:45Z,1950721,0,1950721
2026-06-22T12:42:00Z,1951014,0,1951014
2026-06-23T10:27:37Z,1951220,0,1951220
2026-06-24T10:12:27Z,1951452,0,1951452
2026-06-25T10:10:12Z,1951668,0,1951668
2026-06-26T10:12:43Z,1951875,0,1951875
2026-06-27T09:21:34Z,1952086,0,1952086
2026-06-28T09:51:41Z,1952349,0,1952349
2026-06-29T11:52:16Z,1952625,0,1952625
2026-06-30T10:23:41Z,1952865,0,1952865
2026-07-01T10:36:49Z,1953091,0,1953091
2026-07-02T09:51:03Z,1953307,0,1953307
2026-07-03T09:48:51Z,1953550,0,1953550
2026-07-04T09:12:31Z,1953755,0,1953755
2026-07-05T09:33:11Z,1953993,0,1953993
2026-07-06T11:21:24Z,1954308,0,1954308
