date,views,likes,comments
2026-06-21T09:55:24Z,3284836,33076,1825
2026-06-22T12:11:14Z,3287229,33096,1825
2026-06-23T09:48:04Z,3289332,33105,1826
2026-06-24T09:37:16Z,3291494,33110,1826
2026-06-25T09:28:43Z,3293911,33126,1826
2026-06-26T09:33:40Z,3296368,33147,1826
2026-06-27T23:12:38Z,3300813,33178,1827
2026-06-28T08:57:30Z,3301836,33185,1827
2026-06-29T11:07:10Z,3304206,33203,1828
2026-06-30T09:43:11Z,3306324,33215,1829
2026-07-01T09:54:58Z,3308430,33228,1833
2026-07-02T09:17:57Z,3310574,33231,1833
2026-07-03T09:23:56Z,3312895,33244,1834
2026-07-04T08:41:57Z,3315481,33260,1834
2026-07-05T08:56:58Z,3318094,33277,1835
2026-07-06T10:43:30Z,3320962,33289,1836
2026-07-07T09:48:19Z,3323277,33293,1836
2026-07-08T08:34:07Z,3325848,33308,1836
2026-07-09T09:46:01Z,3328800,33326,1836
2026-07-10T09:41:06Z,3331988,33346,1836
2026-07-11T08:01:03Z,3334980,33355,1836
2026-07-12T08:22:38Z,3338503,33372,1837
2026-07-13T09:33:37Z,3342241,33401,1836
2026-07-14T08:12:14Z,3345021,33415,1834
2026-07-15T08:19:22Z,3347736,33432,1834
