date,views,likes,comments
2026-06-27T23:12:38Z,101979,5674,514
2026-06-28T08:57:30Z,101988,5674,514
2026-06-29T11:07:10Z,101992,5674,514
2026-06-30T09:43:11Z,102002,5674,514
2026-07-01T09:54:58Z,102028,5675,514
2026-07-02T09:17:57Z,102069,5672,514
2026-07-03T09:23:56Z,102105,5672,514
2026-07-04T08:41:57Z,102147,5672,514
2026-07-05T08:56:58Z,102186,5672,514
2026-07-06T10:43:30Z,102209,5672,514
2026-07-07T09:48:19Z,102227,5673,514
2026-07-08T08:34:07Z,102262,5674,514
2026-07-09T09:46:01Z,102306,5674,514
2026-07-10T09:41:06Z,102328,5674,514
2026-07-11T08:01:03Z,102354,5674,514
2026-07-12T08:22:38Z,102371,5674,514
2026-07-13T09:33:37Z,102383,5673,514
2026-07-14T08:12:14Z,102394,5671,514
2026-07-15T08:19:22Z,102405,5671,514
2026-07-16T08:19:04Z,102417,5671,514
2026-07-17T08:14:41Z,102436,5671,514
