date,views,likes,comments
2026-06-27T23:12:38Z,8277,524,53
2026-06-28T08:57:30Z,8277,524,53
2026-06-29T11:07:10Z,8277,524,53
2026-06-30T09:43:11Z,8278,524,53
2026-07-01T09:54:58Z,8281,524,53
2026-07-02T09:17:57Z,8284,523,53
2026-07-03T09:23:56Z,8284,523,53
2026-07-04T08:41:57Z,8285,523,53
2026-07-05T08:56:58Z,8286,523,53
2026-07-06T10:43:30Z,8286,523,53
2026-07-07T09:48:19Z,8288,523,53
2026-07-08T08:34:07Z,8291,523,53
2026-07-09T09:46:01Z,8293,523,53
2026-07-10T09:41:06Z,8296,523,53
