date,views,likes,comments
2026-06-27T23:12:38Z,8678,569,53
2026-06-28T08:57:30Z,8678,569,53
2026-06-29T11:07:10Z,8680,569,53
2026-06-30T09:43:11Z,8680,569,53
2026-07-01T09:54:58Z,8683,569,53
2026-07-02T09:17:57Z,8683,568,53
2026-07-03T09:23:56Z,8686,568,53
2026-07-04T08:41:57Z,8688,568,53
2026-07-05T08:56:58Z,8689,568,53
2026-07-06T10:43:30Z,8692,568,53
2026-07-07T09:48:19Z,8692,568,53
2026-07-08T08:34:07Z,8693,568,53
2026-07-09T09:46:01Z,8697,568,53
2026-07-10T09:41:06Z,8697,568,53
2026-07-11T08:01:03Z,8699,568,53
2026-07-12T08:22:38Z,8701,568,53
2026-07-13T09:33:37Z,8703,567,53
2026-07-14T08:12:14Z,8703,567,53
2026-07-15T08:19:22Z,8704,567,53
2026-07-16T08:19:04Z,8704,567,53
2026-07-17T08:14:41Z,8706,567,53
2026-07-18T07:56:46Z,8707,567,53
2026-07-19T08:23:57Z,8708,567,53
2026-07-20T09:20:22Z,8709,567,53
2026-07-21T08:33:54Z,8709,567,53
