date,views,likes,comments
2026-06-27T23:12:38Z,54225,3462,251
2026-06-28T08:57:30Z,54227,3462,251
2026-06-29T11:07:10Z,54228,3462,251
2026-06-30T09:43:11Z,54229,3462,251
2026-07-01T09:54:58Z,54235,3462,251
2026-07-02T09:17:57Z,54249,3462,251
2026-07-03T09:23:56Z,54263,3462,251
2026-07-04T08:41:57Z,54275,3463,251
2026-07-05T08:56:58Z,54282,3462,251
2026-07-06T10:43:30Z,54295,3462,251
2026-07-07T09:48:19Z,54303,3463,251
2026-07-08T08:34:07Z,54315,3463,251
2026-07-09T09:46:01Z,54326,3464,251
2026-07-10T09:41:06Z,54335,3464,251
