date,views,likes,comments
2026-06-21T09:55:24Z,538211,5441,143
2026-06-22T12:11:14Z,538342,5442,143
2026-06-23T09:48:04Z,538482,5446,143
2026-06-24T09:37:16Z,538585,5447,143
2026-06-25T09:28:43Z,538719,5448,143
2026-06-26T09:33:40Z,538808,5447,143
2026-06-27T23:12:38Z,539029,5451,143
2026-06-28T08:57:30Z,539092,5451,143
2026-06-29T11:07:10Z,539210,5452,143
2026-06-30T09:43:11Z,539321,5451,143
2026-07-01T09:54:58Z,539452,5451,143
2026-07-02T09:17:57Z,539574,5452,143
2026-07-03T09:23:56Z,539764,5452,143
2026-07-04T08:41:57Z,540006,5454,143
2026-07-05T08:56:58Z,540201,5454,143
2026-07-06T10:43:30Z,540422,5458,143
2026-07-07T09:48:19Z,540562,5459,143
2026-07-08T08:34:07Z,540704,5459,143
2026-07-09T09:46:01Z,540850,5460,143
2026-07-10T09:41:06Z,541000,5461,143
2026-07-11T08:01:03Z,541126,5463,143
2026-07-12T08:22:38Z,541196,5462,143
2026-07-13T09:33:37Z,541278,5463,143
2026-07-14T08:12:14Z,541336,5463,143
2026-07-15T08:19:22Z,541423,5465,143
2026-07-16T08:19:04Z,541527,5465,143
2026-07-17T08:14:41Z,541676,5465,143
2026-07-18T07:56:46Z,541783,5467,143
2026-07-19T08:23:57Z,541904,5469,143
2026-07-20T09:20:22Z,542110,5471,143
