date,views,likes,comments
2026-06-27T23:12:38Z,62801,3871,231
2026-06-28T08:57:30Z,62807,3871,231
2026-06-29T11:07:10Z,62811,3871,231
2026-06-30T09:43:11Z,62813,3871,231
2026-07-01T09:54:58Z,62823,3871,231
2026-07-02T09:17:57Z,62830,3870,231
2026-07-03T09:23:56Z,62836,3870,231
2026-07-04T08:41:57Z,62843,3871,231
2026-07-05T08:56:58Z,62854,3869,231
2026-07-06T10:43:30Z,62868,3870,231
2026-07-07T09:48:19Z,62880,3869,231
2026-07-08T08:34:07Z,62890,3869,231
2026-07-09T09:46:01Z,62896,3870,231
2026-07-10T09:41:06Z,62900,3870,231
2026-07-11T08:01:03Z,62911,3869,231
2026-07-12T08:22:38Z,62922,3870,231
2026-07-13T09:33:37Z,62943,3871,231
2026-07-14T08:12:14Z,62959,3871,231
