date,views,likes,comments
2026-06-27T23:12:38Z,74959,4815,377
2026-06-28T08:57:30Z,74967,4815,377
2026-06-29T11:07:10Z,74981,4815,377
2026-06-30T09:43:11Z,74989,4814,377
2026-07-01T09:54:58Z,75000,4814,377
2026-07-02T09:17:57Z,75023,4814,377
2026-07-03T09:23:56Z,75041,4814,377
2026-07-04T08:41:57Z,75071,4814,377
2026-07-05T08:56:58Z,75087,4812,377
2026-07-06T10:43:30Z,75114,4814,377
2026-07-07T09:48:19Z,75128,4816,377
2026-07-08T08:34:07Z,75151,4817,377
2026-07-09T09:46:01Z,75176,4817,377
2026-07-10T09:41:06Z,75198,4817,377
